order_id,order_date,customer_name,email,city,product_category,product_name,quantity,price,payment_mode,order_status
ORD1106,15-03-2023,Sneha,NULL,Delhi,Electronics,Mixer,1,999.00,Other,Delivered
ORD1071,06-05-2024,Sneha,NULL,Delhi,Electronics,NULL,1,999.00,Credit Card,Pending
ORD1020,18-08-2023,Sneha,NULL,Mumbai,Home,Mobile,1,999.00,Other,Delivered
ORD1214,14-10-2024,Ankit,example@,Delhi,Electronics,Laptop,1,499.00,Other,Delivered
ORD1087,17-06-2023,Guest,gmail.com,Pune,Other,Laptop,1,499.00,Other,Delivered
ORD1151,28-01-2024,Guest,example@,Mumbai,Electronics,Shoes,1,999.00,UPI,Pending
ORD1257,31-05-2024,Ritu,yahoo.com,Delhi,Other,Other,1,499.00,Other,Delivered
ORD1252,10-05-2024,Priya,gmail.com,Mumbai,Electronics,Shoes,1,999.00,Other,Delivered
ORD1235,31-12-2023,Guest,NULL,Delhi,Electronics,Shoes,1,999.00,Other,Delivered
ORD1058,14-05-2024,Guest,NULL,Bangalore,NULL,Mobile,0,499.00,Debit Card,Pending
ORD1169,18-10-2024,Ankit,example@,Pune,Electronics,Shoes,3,499.00,Credit Card,Returned
ORD1174,28-10-2023,Ankit,NULL,Delhi,Grocery,Mobile,0,1299.00,COD,Cancelled
ORD1054,11-03-2023,Ritu,example@,Bangalore,NULL,Laptop,1,499.00,NULL,Returned
ORD1243,09-09-2023,Priya,yahoo.com,NULL,NULL,general,1,1009.7954,COD,Delivered
ORD1166,16-06-2023,NULL,NULL,Hyderabad,Home,Laptop,1,1299.00,Other,Delivered
ORD1273,01-04-2023,Guest,NULL,Bangalore,Grocery,T-Shirt,1,1009.7954,NULL,Delivered
ORD1088,14-12-2024,Ritu,NULL,Delhi,Fashion,T-Shirt,3,499.00,UPI,Pending
ORD1013,14-06-2024,Ankit,yahoo.com,Delhi,Grocery,Mixer,0,0.00,UPI,Pending
ORD1241,08-02-2023,NULL,example@,Mumbai,Grocery,Laptop,0,0.00,NULL,Returned
ORD1263,14-10-2024,NULL,NULL,Hyderabad,Electronics,NULL,0,0.00,Credit Card,Cancelled
ORD1205,29-09-2024,Guest,NULL,Bangalore,Fashion,Mobile,1,499.00,UPI,Pending
