order_id,order_date,customer_name,email,city,product_category,product_name,quantity,price,payment_mode,order_status
ORD1102,10-08-2024,Rahul,gmail.com,delhi ,Electronics,NULL,NULL,NULL,NULL,NULL
ORD1270,09-01-2023,Rahul,NULL,Pune,Electronics,NULL,0,NULL,UPI,Cancelled
ORD1106,15-03-2023,Sneha,NULL,delhi ,electronics,Mixer,-1,999,NULL,Delivered
ORD1071,06-05-2024,Sneha,NULL,delhi ,electronics,NULL,1,999,Credit Card,NULL
ORD1188,10-09-2023,Priya,NULL,Mumbai,Fashion,NULL,0,1299,NULL,NULL
ORD1020,18-08-2023,Sneha,NULL,MUMBAI,Home,Mobile,-1,999,NULL,Delivered
ORD1102,02-06-2024,NULL,example@,Mumbai,Fashion,NULL,3,NULL,Debit Card,Cancelled
ORD1121,23-06-2023,Ankit,NULL,delhi ,Grocery,Shoes,1,NULL,Credit Card,Returned
ORD1214,14-10-2024,Ankit,example@,Delhi,Electronics,Laptop,1,499,NULL,delivered
ORD1087,17-06-2023,NULL,gmail.com,Pune,NULL,Laptop,3,499,NULL,Delivered
ORD1099,19-06-2023,N/A,NULL,Mumbai,NULL,Laptop,3,1299,NULL,Cancelled
ORD1151,28-01-2024,NULL,example@,MUMBAI,Electronics,Shoes,1,999,UPI,NULL
ORD1130,25-09-2024,Amit,example@,Bangalore,Electronics,NULL,3,NULL,NULL,Delivered
ORD1149,13-07-2023,NULL,gmail.com,NULL,Fashion,Mobile,2,499,UPI,Delivered
ORD1257,31-05-2024,Ritu,yahoo.com,delhi ,NULL,NULL,-1,499,NULL,delivered
ORD1293,29-01-2023,NULL,NULL,Bangalore,NULL,Shoes,-1,1299,COD,Cancelled
ORD1191,14-06-2023,Sneha,yahoo.com,Hyderabad,NULL,Laptop,-1,1299,Credit Card,Returned
ORD1276,26-02-2024,Sneha,NULL,NULL,Fashion,Mixer,2,NULL,COD,NULL
ORD1160,05-12-2023,Priya,example@,MUMBAI,Electronics,T-Shirt,3,499,NULL,Cancelled
ORD1021,09-10-2024,NULL,gmail.com,NULL,Fashion,NULL,0,1299,Credit Card,NULL
ORD1252,10-05-2024,Priya,gmail.com,MUMBAI,electronics,Shoes,3,999,Credit Card,Delivered
ORD1235,31-12-2023,NULL,NULL,Delhi,electronics,Shoes,1,999,Debit Card,delivered
ORD1048,08-12-2023,Ritu,yahoo.com,NULL,Fashion,Mobile,NULL,NULL,COD,delivered
ORD1058,14-05-2024,NULL,NULL,Bangalore,NULL,Mobile,-1,499,Debit Card,NULL
ORD1169,18-10-2024,Ankit,example@,Pune,Electronics,Shoes,3,499,Credit Card,Returned
ORD1187,25-05-2024,Rahul,NULL,MUMBAI,Fashion,Laptop,0,NULL,UPI,delivered
ORD1270,23-11-2023,NULL,gmail.com,Pune,Fashion,T-Shirt,1,499,Credit Card,Delivered
ORD1189,05-08-2023,NULL,gmail.com,NULL,Fashion,NULL,2,1299,Debit Card,Returned
ORD1174,28-10-2023,Ankit,NULL,delhi ,Grocery,Mobile,2,1299,COD,Cancelled
ORD1050,12-05-2023,N/A,NULL,Hyderabad,electronics,NULL,0,499,NULL,delivered
ORD1054,11-03-2023,Ritu,example@,Bangalore,NULL,Laptop,1,499,NULL,Returned
ORD1243,09-09-2023,Priya,yahoo.com,NULL,NULL,NULL,-1,NULL,COD,Delivered
ORD1130,19-02-2024,Priya,NULL,NULL,Home,Mixer,3,999,NULL,NULL
ORD1134,20-03-2024,Sneha,example@,Delhi,NULL,Mobile,1,NULL,NULL,NULL
ORD1020,01-07-2023,Ankit,NULL,NULL,NULL,Laptop,2,NULL,Debit Card,NULL
ORD1166,16-06-2023,N/A,NULL,Hyderabad,Home,Laptop,0,1299,COD,Delivered
ORD1273,01-04-2023,NULL,NULL,Bangalore,Grocery,T-Shirt,0,NULL,NULL,Delivered
ORD1088,14-12-2024,Ritu,NULL,delhi ,Fashion,T-Shirt,3,499,UPI,NULL
ORD1013,14-06-2024,Ankit,yahoo.com,delhi ,Grocery,Mixer,0,NULL,UPI,NULL
ORD1241,08-02-2023,N/A,example@,Mumbai,Grocery,Laptop,0,NULL,NULL,Returned
ORD1264,06-05-2023,Rahul,NULL,NULL,NULL,NULL,1,999,UPI,NULL
ORD1052,26-03-2024,NULL,gmail.com,MUMBAI,Electronics,Laptop,-1,NULL,COD,Delivered
ORD1091,22-06-2023,Priya,gmail.com,Delhi,NULL,T-Shirt,3,999,COD,delivered
ORD1263,14-10-2024,NULL,NULL,Hyderabad,electronics,NULL,1,NULL,Credit Card,Cancelled
ORD1034,08-08-2023,Priya,NULL,delhi ,Home,Mobile,-1,499,Credit Card,NULL
ORD1205,29-09-2024,NULL,NULL,Bangalore,Fashion,Mobile,1,499,UPI,NULL
ORD1080,27-02-2023,Sneha,gmail.com,Mumbai,NULL,NULL,NULL,999,NULL,delivered
ORD1049,21-10-2024,NULL,gmail.com,Bangalore,Home,Shoes,1,1299,Credit Card,delivered
ORD1001,20-04-2024,Priya,NULL,Delhi,NULL,T-Shirt,0,499,Credit Card,Delivered
ORD1053,31-03-2024,NULL,NULL,MUMBAI,Home,Shoes,-1,999,COD,NULL
ORD1105,27-12-2023,Rahul,NULL,Mumbai,NULL,NULL,3,499,NULL,Returned
ORD1259,01-01-2023,Sneha,yahoo.com,Mumbai,NULL,T-Shirt,3,999,NULL,NULL
ORD1190,22-01-2024,NULL,example@,NULL,electronics,Mixer,-1,NULL,UPI,NULL
ORD1217,14-12-2023,Ankit,NULL,Hyderabad,NULL,Laptop,0,NULL,Credit Card,delivered
ORD1043,09-07-2023,Amit,gmail.com,Mumbai,NULL,Mixer,2,1299,NULL,NULL
ORD1161,19-05-2024,N/A,NULL,NULL,Home,NULL,1,1299,NULL,NULL
ORD1201,10-07-2023,Amit,yahoo.com,NULL,Home,T-Shirt,0,999,UPI,Returned
ORD1269,22-05-2024,Amit,yahoo.com,Delhi,NULL,NULL,NULL,1299,NULL,delivered
ORD1270,04-01-2024,Ritu,example@,Pune,Grocery,Laptop,-1,499,NULL,Returned
ORD1214,13-02-2024,Rahul,NULL,Bangalore,electronics,Mobile,1,NULL,NULL,NULL
